#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-04-15, 10:31:16
# Real time (s): 6165.170
# Live time (s): 6000.000
#
# Total counts:  578519
#
# Left marker:  1745 (656.430 keV)
# Right marker: 1779 (669.055 keV)
# Counts:       3052
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 8.481379
#     A1: 0.371317
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
704	269.889	268	0.0446667
705	270.260	277	0.0461667
706	270.631	265	0.0441667
707	271.003	283	0.0471667
708	271.374	252	0.042
709	271.745	300	0.05
710	272.117	276	0.046
711	272.488	256	0.0426667
712	272.859	269	0.0448333
713	273.231	273	0.0455
714	273.602	276	0.046
715	273.973	248	0.0413333
716	274.345	270	0.045
717	274.716	255	0.0425
718	275.087	258	0.043
719	275.459	267	0.0445
720	275.830	276	0.046
721	276.201	277	0.0461667
722	276.573	252	0.042
723	276.944	259	0.0431667
724	277.315	257	0.0428333
725	277.686	255	0.0425
726	278.058	235	0.0391667
727	278.429	272	0.0453333
728	278.800	252	0.042
729	279.172	261	0.0435
730	279.543	249	0.0415
731	279.914	273	0.0455
732	280.286	259	0.0431667
733	280.657	272	0.0453333
734	281.028	264	0.044
735	281.400	257	0.0428333
736	281.771	244	0.0406667
737	282.142	260	0.0433333
738	282.514	254	0.0423333
739	282.885	277	0.0461667
740	283.256	259	0.0431667
741	283.628	276	0.046
742	283.999	240	0.04
743	284.370	235	0.0391667
744	284.742	250	0.0416667
745	285.113	231	0.0385
746	285.484	259	0.0431667
747	285.855	254	0.0423333
748	286.227	245	0.0408333
749	286.598	239	0.0398333
750	286.969	254	0.0423333
751	287.341	237	0.0395
752	287.712	228	0.038
753	288.083	272	0.0453333
754	288.455	229	0.0381667
755	288.826	254	0.0423333
756	289.197	251	0.0418333
757	289.569	208	0.0346667
758	289.940	249	0.0415
759	290.311	276	0.046
760	290.683	253	0.0421667
761	291.054	236	0.0393333
762	291.425	236	0.0393333
763	291.797	287	0.0478333
764	292.168	262	0.0436667
765	292.539	260	0.0433333
766	292.910	260	0.0433333
767	293.282	257	0.0428333
768	293.653	237	0.0395
769	294.024	270	0.045
770	294.396	243	0.0405
771	294.767	250	0.0416667
772	295.138	235	0.0391667
773	295.510	238	0.0396667
774	295.881	227	0.0378333
775	296.252	244	0.0406667
776	296.624	234	0.039
777	296.995	218	0.0363333
778	297.366	255	0.0425
779	297.738	220	0.0366667
780	298.109	244	0.0406667
781	298.480	242	0.0403333
782	298.852	234	0.039
783	299.223	254	0.0423333
784	299.594	238	0.0396667
785	299.966	222	0.037
786	300.337	241	0.0401667
787	300.708	273	0.0455
788	301.079	243	0.0405
789	301.451	204	0.034
790	301.822	234	0.039
791	302.193	210	0.035
792	302.565	228	0.038
793	302.936	217	0.0361667
794	303.307	224	0.0373333
795	303.679	235	0.0391667
796	304.050	238	0.0396667
797	304.421	226	0.0376667
798	304.793	266	0.0443333
799	305.164	228	0.038
800	305.535	247	0.0411667
801	305.907	223	0.0371667
802	306.278	257	0.0428333
803	306.649	199	0.0331667
804	307.021	228	0.038
805	307.392	213	0.0355
806	307.763	230	0.0383333
807	308.135	223	0.0371667
808	308.506	229	0.0381667
809	308.877	223	0.0371667
810	309.248	227	0.0378333
811	309.620	220	0.0366667
812	309.991	235	0.0391667
813	310.362	236	0.0393333
814	310.734	233	0.0388333
815	311.105	222	0.037
816	311.476	242	0.0403333
817	311.848	216	0.036
818	312.219	228	0.038
819	312.590	206	0.0343333
820	312.962	242	0.0403333
821	313.333	265	0.0441667
822	313.704	232	0.0386667
823	314.076	237	0.0395
824	314.447	257	0.0428333
825	314.818	218	0.0363333
826	315.190	235	0.0391667
827	315.561	211	0.0351667
828	315.932	219	0.0365
829	316.303	217	0.0361667
830	316.675	216	0.036
831	317.046	227	0.0378333
832	317.417	218	0.0363333
833	317.789	198	0.033
834	318.160	232	0.0386667
835	318.531	219	0.0365
836	318.903	230	0.0383333
837	319.274	210	0.035
838	319.645	222	0.037
839	320.017	211	0.0351667
840	320.388	210	0.035
841	320.759	224	0.0373333
842	321.131	237	0.0395
843	321.502	216	0.036
844	321.873	210	0.035
845	322.245	218	0.0363333
846	322.616	220	0.0366667
847	322.987	215	0.0358333
848	323.359	212	0.0353333
849	323.730	209	0.0348333
850	324.101	203	0.0338333
851	324.472	214	0.0356667
852	324.844	217	0.0361667
853	325.215	201	0.0335
854	325.586	177	0.0295
855	325.958	204	0.034
856	326.329	224	0.0373333
857	326.700	206	0.0343333
858	327.072	222	0.037
859	327.443	221	0.0368333
860	327.814	188	0.0313333
861	328.186	204	0.034
862	328.557	202	0.0336667
863	328.928	216	0.036
864	329.300	199	0.0331667
865	329.671	232	0.0386667
866	330.042	194	0.0323333
867	330.414	169	0.0281667
868	330.785	211	0.0351667
869	331.156	210	0.035
870	331.528	201	0.0335
871	331.899	188	0.0313333
872	332.270	207	0.0345
873	332.641	198	0.033
874	333.013	212	0.0353333
875	333.384	213	0.0355
876	333.755	199	0.0331667
877	334.127	195	0.0325
878	334.498	223	0.0371667
879	334.869	176	0.0293333
880	335.241	209	0.0348333
881	335.612	192	0.032
882	335.983	201	0.0335
883	336.355	216	0.036
884	336.726	195	0.0325
885	337.097	201	0.0335
886	337.469	184	0.0306667
887	337.840	212	0.0353333
888	338.211	221	0.0368333
889	338.583	209	0.0348333
890	338.954	200	0.0333333
